datetimes,neighborhoods,titles,addresses,property_types,bedrooms,bathrooms,sqfts,prices,links
2020-08-18 07:33:00,Pacific Beach,Pacific Beach 2 Bed/1 Bath in a Beautiful Community *2 WEEKS FREE*,"1918 Emerald Street, Unit 202",apartment,2.0,1,,1995,https://sandiego.craigslist.org/csd/apa/d/san-diego-pacific-beach-2-bed-1-bath-in/7179601183.html
2020-08-18 07:30:00,1129 30Th Street,Golden Hill remodeled 1 bedroom apartment Street parking,,apartment,1.0,1,550.0,1495,https://sandiego.craigslist.org/csd/apa/d/san-diego-golden-hill-remodeled-1/7179606782.html
2020-08-18 01:07:00,North Park,North Park Studio. Newly Renovated. Steps from University Ave.,Illinois St near University Ave.,condo,1.0,1,384.0,1510,https://sandiego.craigslist.org/csd/apa/d/san-diego-north-park-studio-newly/7169547331.html
2020-08-18 01:06:00,North Park,North Park Studio. Newly Renovated. Steps from University Ave.,Illinois St near University Ave.,condo,1.0,1,384.0,1510,https://sandiego.craigslist.org/csd/apa/d/san-diego-north-park-studio-newly/7168767382.html
2020-08-18 01:05:00,North Park,North Park Studio. Newly Renovated. Steps from University Ave.,Illinois St near University Ave.,condo,1.0,1,384.0,1510,https://sandiego.craigslist.org/csd/apa/d/san-diego-north-park-studio-newly/7177691370.html
2020-08-17 18:25:00,East Village / Downtown,Dreamy 3 BR apt!,1475 Island Ave.,apartment,3.0,2,1529.0,4033,https://sandiego.craigslist.org/csd/apa/d/san-diego-dreamy-3-br-apt/7179392974.html
2020-08-17 18:25:00,Mountain View,House for rent,4151 Hemlock near San Miguel Ave,house,3.0,2,,2100,https://sandiego.craigslist.org/csd/apa/d/san-diego-house-for-rent/7177499802.html
2020-08-17 18:25:00,"South Coronado , North Imperial Beach",Beach Townhome,,house,2.0,3,1500.0,6000,https://sandiego.craigslist.org/csd/apa/d/imperial-beach-beach-townhome/7173303410.html
