datetimes,neighborhoods,titles,addresses,property_types,bedrooms,bathrooms,sqfts,prices,links
2020-08-19 09:10:00,Utc/San Diego,"2 BR/BA LA JOLLA SUPER SPECIAL $2,000 TODAY !",3845 Nobel Dr,apartment,2.0,2.0,969.0,2000,https://sandiego.craigslist.org/csd/apa/d/san-diego-2-br-ba-la-jolla-super/7180306967.html
2020-08-19 09:10:00,Utc/San Diego,1 BR/BA SUPER DEAL LA JOLLA NOW!,3845 Nobel dr,apartment,1.0,1.0,640.0,1774,https://sandiego.craigslist.org/csd/apa/d/san-diego-1-br-ba-super-deal-la-jolla/7180306602.html
2020-08-19 09:10:00,Imperial Beach,2br/1 bath,805 florida street near donax ave,apartment,2.0,1.0,,1325,https://sandiego.craigslist.org/ssd/apa/d/imperial-beach-2br-1-bath/7180306480.html
2020-08-19 09:10:00,Carlsbad Village,2bd's A Block From The Village! Get On The Wait List!,355 Pine Avenue,apartment,2.0,2.0,825.0,2270,https://sandiego.craigslist.org/nsd/apa/d/carlsbad-2bds-block-from-the-village/7180306392.html
2020-08-19 09:09:00,Utc/San Diego,"2 BR/BA LA JOLLA SUPER SPECIAL $2,000 TODAY !",3845 Nobel Dr,apartment,2.0,2.0,969.0,2000,https://sandiego.craigslist.org/csd/apa/d/san-diego-2-br-ba-la-jolla-super/7180305938.html
2020-08-19 09:08:00,La Mesa,1 Bedrooms Available in September,,apartment,1.0,1.0,,1889,https://sandiego.craigslist.org/csd/apa/d/la-mesa-1-bedrooms-available-in/7180305529.html
2020-08-19 09:08:00,Kearny Mesa,"""Paw Wash"" Station, Quartz Kitchen and Bathroom Countertops","4855 Ariva Way, #130",apartment,2.0,2.0,1124.0,2720,https://sandiego.craigslist.org/csd/apa/d/san-diego-paw-wash-station-quartz/7180305381.html
2020-08-19 09:08:00,Carlsbad Village,2bd Dual Master With Private Back Yard 🎆,360 Chestnut Avenue,apartment,2.0,0.0,800.0,2250,https://sandiego.craigslist.org/nsd/apa/d/carlsbad-2bd-dual-master-with-private/7180304987.html
2020-08-19 09:08:00,"5395 Napa St, San Diego, Ca, Us",Dual Master! Tour Today!,5395 Napa St,apartment,2.0,2.0,1075.0,2695,https://sandiego.craigslist.org/csd/apa/d/san-diego-dual-master-tour-today/7172224132.html
2020-08-19 09:07:00,Poway,Poway's Best! Lock Down This 2BR TODAY and Get Money OFF!,,apartment,2.0,2.0,935.0,1995,https://sandiego.craigslist.org/nsd/apa/d/san-diego-poways-best-lock-down-this/7180304681.html
2020-08-19 09:07:00,San Diego,APT 19 - 2ND FLOOR 2BD/2BA; AVAILABLE NOW,8563 Lake Murray Blvd. near Lake Arrowhead Dr,apartment,2.0,2.0,918.0,1823,https://sandiego.craigslist.org/csd/apa/d/la-mesa-apt-nd-floor-2bd-2ba-available/7180304642.html
2020-08-19 09:07:00,San Diego/ North Park/ Access To 805 Freeway,Save $100  each month for 8/20 Move In! Don't miss this one!,3132 Felton St,apartment,2.0,1.0,785.0,2295,https://sandiego.craigslist.org/csd/apa/d/san-diego-save-100-each-month-for-8-20/7180304322.html
2020-08-19 09:06:00,1045 Fourth Avenue,"$99 DEPOSIT & ZERO APPLICATION FEE/ DON'T MISS OUT, APPLY TODAY!!!",1045 4th avenue near 4TH AVE,apartment,2.0,2.0,,1870,https://sandiego.craigslist.org/ssd/apa/d/chula-vista-99-deposit-zero-application/7180303770.html
2020-08-19 09:06:00,Poway,The Heat is in These $pecials In This Spacious 2BR TODAY!,,apartment,2.0,2.0,935.0,1995,https://sandiego.craigslist.org/nsd/apa/d/poway-the-heat-is-in-these-pecials-in/7180303757.html
2020-08-19 09:06:00,San Diego,beautiful mission valley condo (lido),2311 Station Village lane near Friars road,condo,3.0,2.0,1538.0,2900,https://sandiego.craigslist.org/nsd/apa/d/san-diego-beautiful-mission-valley/7180303381.html
2020-08-19 09:06:00,1045 Fourth Avenue Chula Vista,BEAUTIFUL 1 BED 1 BATH / NOW OFFERING AMAZING SPECIALS!!!,1045 4TH AVE near 4TH AVE,apartment,1.0,1.0,,1545,https://sandiego.craigslist.org/ssd/apa/d/chula-vista-beautiful-1-bed-1-bath-now/7180303341.html
2020-08-19 09:06:00,Santee,LOVELY AND COZY ONE BEDROOM AVAILABLE SOON!!,8655 Graves Ave,apartment,1.0,1.0,,1505,https://sandiego.craigslist.org/esd/apa/d/santee-lovely-and-cozy-one-bedroom/7180303142.html
2020-08-19 09:05:00,Santee,FABULOUS TWO BEDROOM ONE BATH COMING SOON!,8655 Graves Ave. near Prospect Ave,apartment,2.0,1.0,,1660,https://sandiego.craigslist.org/esd/apa/d/santee-fabulous-two-bedroom-one-bath/7180302818.html
2020-08-19 09:05:00,San Diego,APT 51 - BEST PRICE 2bed/2bath + DEALS - AVAILABLE Oct 3rd,8563 Lake Murray Blvd. near Lake Arrowhead Dr,apartment,2.0,2.0,918.0,1823,https://sandiego.craigslist.org/csd/apa/d/la-mesa-apt-51-best-price-2bed-2bath/7180302781.html
