datetimes,neighborhoods,titles,addresses,property_types,bedrooms,bathrooms,sqfts,prices,links
2020-08-21 13:27:00,Mesa / Tempe / Phoenix,WELCOME !!! ALL CREDIT AND PETS ACCEPTED! WE HELP EVERYONE!!,"1930 S. Alma School Road, Ste B101 near B101",apartment,2.0,2.0,,1495,https://phoenix.craigslist.org/evl/apa/d/welcome-all-credit-and-pets-accepted-we/7167740731.html
2020-08-21 13:26:00,Glendale,All that glitter is gold @ Zone Luxe Apartments,9450 near w cabela dr,apartment,2.0,2.0,1184.0,1635,https://phoenix.craigslist.org/wvl/apa/d/glendale-all-that-glitter-is-gold-zone/7181744800.html
2020-08-21 13:25:00,Mesa,Fall Availability,3443 E. University Dr near Val Vista,apartment,2.0,2.0,968.0,1141,https://phoenix.craigslist.org/evl/apa/d/mesa-fall-availability/7181763217.html
2020-08-21 13:25:00,"8650 West Peoria Avenue, Peoria, Az, Us","Bbq/picnic area, Wall accents, Quick access to the 101 freeway",8650 West Peoria Avenue,apartment,1.0,1.0,,1046,https://phoenix.craigslist.org/wvl/apa/d/peoria-bbq-picnic-area-wall-accents/7170939531.html
2020-08-21 13:24:00,Phoenix,Snuggle up with FIDO in our charming Studio ba! We're pet-friendly!,2506 W Dunlap Ave,apartment,0.0,1.0,502.0,985,https://phoenix.craigslist.org/nph/apa/d/phoenix-snuggle-up-with-fido-in-our/7181762229.html
2020-08-21 13:24:00,Fountain Hills,"Must see location, many lease options, beautiful amenities",13225 N Fountain Hills Blvd.,apartment,2.0,2.0,1005.0,1515,https://phoenix.craigslist.org/cph/apa/d/fountain-hills-must-see-location-many/7169845680.html
2020-08-21 13:24:00,Phoenix,"Walk-In Closets, Resident Workshops & Events, Freezer, Solar Screens",1545 W Camelback Road near 15th Ave and Camelback,apartment,1.0,1.0,375.0,785,https://phoenix.craigslist.org/cph/apa/d/phoenix-walk-in-closets-resident/7181761897.html
2020-08-21 13:24:00,Gilbert,Large One Bedroom! 1 bed / 1 bath! 899 Sqft!,4776 East Guadalupe Road,apartment,1.0,1.0,899.0,1165,https://phoenix.craigslist.org/evl/apa/d/higley-large-one-bedroom-1-bed-1-bath/7181761827.html
2020-08-21 13:23:00,East Mesa,Always Fresh. Forever Original.,2305 E. Main St. near Gilbert & Main,apartment,2.0,2.0,810.0,1100,https://phoenix.craigslist.org/evl/apa/d/mesa-always-fresh-forever-original/7180461946.html
2020-08-21 13:23:00,Chandler,MOVE IN SPECIAL $300! Beautiful 2 bed 2 bath,1100 N Priest drive near ray rd,apartment,2.0,2.0,1063.0,1397,https://phoenix.craigslist.org/evl/apa/d/tempe-move-in-special-300-beautiful-2/7181747110.html
2020-08-21 13:23:00,Mesa,1 Bedroom 1 Bath Available! 2 Pools! Spa! Gym! Basketball Court,1651 S. Dobson Rd.,apartment,1.0,1.0,550.0,915,https://phoenix.craigslist.org/evl/apa/d/mesa-1-bedroom-1-bath-available-2-pools/7181732853.html
2020-08-21 13:22:00,Glendale,Luxurious Living at Zone!,7455 N. 95th Ave,apartment,1.0,1.0,858.0,1300,https://phoenix.craigslist.org/wvl/apa/d/glendale-luxurious-living-at-zone/7181756610.html
